""	29
"Alabama A&amp;M University"	1
"Arizona State University"	1
"Boise State University"	1
"Butler County Community College"	1
"Cleveland State University"	1
"Davidson College"	1
"Duke University"	1
"Florida International University"	1
"Florida State University"	1
"Georgia Institute of Technology"	3
"Gonzaga University"	3
"Marquette University"	2
"Miami University"	1
"Michigan State University"	2
"Mississippi State University"	2
"Murray State University"	1
"North Carolina State University"	1
"Northeastern University"	1
"Oklahoma State University"	2
"Old Dominion University"	1
"Providence College"	1
"Saint Mary's College of California"	1
"San Diego State University"	1
"Southern Methodist University"	1
"Towson University"	1
"University of Arizona"	5
"University of Arkansas at Little Rock"	2
"University of California Los Angeles"	4
"University of California"	1
"University of Connecticut"	2
"University of Florida"	7
"University of Illinois at Urbana-Champaign"	1
"University of Kansas"	3
"University of Kentucky"	1
"University of Maryland"	1
"University of Miami"	2
"University of Michigan"	2
"University of Minnesota"	1
"University of Nevada Las Vegas"	3
"University of North Carolina"	4
"University of Notre Dame"	1
"University of Oklahoma"	1
"University of Pittsburgh"	1
"University of Rhode Island"	2
"University of Southern California"	1
"University of Texas at Austin"	6
"University of Utah"	1
"Villanova University"	1
"Wake Forest University"	2
"Washington State University"	2
"Xavier University"	1
