
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Mike Bibby,PG,6-1,190,May 13 1978,9,University of Arizona
1,Josh Childress,SF,6-8,210,June 20 1983,3,Stanford University
15,Al Horford,C,6-10,245,June 3 1986,R,University of Florida
8,Anthony Johnson,PG,6-3,190,October 2 1974,10,College of Charleston
2,Joe Johnson,SG,6-7,240,June 29 1981,6,University of Arkansas
44,Solomon Jones,PF,6-10,230,July 16 1984,1,University of South Florida
4,Acie Law,PG,6-3,195,January 25 1985,R,Texas A&amp;M University
10,Tyronn Lue,PG,6-0,175,May 3 1977,9,University of Nebraska
27,Zaza Pachulia,C,6-11,270,February 10 1984,4,
32,Jeremy Richardson,SF,6-6,185,February 11 1984,1,Delta State University
5,Josh Smith,PF,6-9,225,December 5 1985,3,
20,Salim Stoudamire,PG,6-1,179,October 11 1982,2,University of Arizona
6,Mario West,SG,6-5,210,June 19 1984,R,Georgia Institute of Technology
24,Marvin Williams,SF,6-9,237,June 19 1986,2,University of North Carolina
33,Shelden Williams,PF,6-9,250,October 21 1983,1,Duke University
42,Lorenzen Wright,C,6-11,225,November 4 1975,11,University of Memphis
