
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
20,Ray Allen,SG,6-5,205,July 20 1975,13,University of Connecticut
42,Tony Allen,SG,6-4,213,January 11 1982,5,Oklahoma State University
7,Marquis Daniels,SF,6-6,200,January 7 1981,6,Auburn University
11,Glen Davis,PF,6-9,289,January 1 1986,2,Louisiana State University
40,Michael Finley,SF,6-7,215,March 6 1973,14,University of Wisconsin
5,Kevin Garnett,PF,6-11,240,May 19 1976,14,
4,J.R. Giddens,SF,6-5,215,February 13 1985,1,University of New Mexico
50,Eddie House,PG,6-1,180,May 14 1978,9,Arizona State University
26,Lester Hudson,PG,6-3,190,August 7 1984,R,University of Tennessee at Martin
40,Oliver Lafayette,SG,6-2,190,May 6 1984,R,University of Houston
12,Marcus Landry,SF,6-7,230,November 1 1985,R,University of Wisconsin
43,Kendrick Perkins,C,6-10,270,November 10 1984,6,
34,Paul Pierce,SF,6-7,235,October 13 1977,11,University of Kansas
4,Nate Robinson,PG,5-9,180,May 31 1984,4,University of Washington
9,Rajon Rondo,PG,6-1,186,February 22 1986,3,University of Kentucky
44,Brian Scalabrine,PF,6-9,241,March 18 1978,8,University of Southern California
12,Henry Walker,SF,6-6,220,October 9 1987,1,Kansas State University
30,Rasheed Wallace,C,6-10,225,September 17 1974,14,University of North Carolina
13,Shelden Williams,PF,6-9,250,October 21 1983,3,Duke University
