
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Alan Anderson,SF,6-6,220,October 16 1982,4,Michigan State University
0,Andray Blatche,PF,6-11,235,August 22 1986,8,
98,Jason Collins,C,7-0,255,December 2 1978,12,Stanford University
30,Reggie Evans,PF,6-8,245,May 18 1980,11,University of Iowa
2,Kevin Garnett,C,6-11,240,May 19 1976,18,
13,Jorge Gutierrez,PG,6-3,191,December 27 1988,R,University of California
7,Joe Johnson,SG,6-7,240,June 29 1981,12,University of Arkansas
47,Andrei Kirilenko,PF,6-9,220,February 18 1981,11,
14,Shaun Livingston,PG,6-7,182,September 11 1985,8,
11,Brook Lopez,C,7-0,275,April 1 1988,5,Stanford University
34,Paul Pierce,SF,6-7,235,October 13 1977,15,University of Kansas
1,Mason Plumlee,PF,6-11,245,March 5 1990,R,Duke University
20,Tornike Shengelia,SF,6-9,217,October 5 1991,1,
10,Tyshawn Taylor,PG,6-3,185,April 12 1990,1,University of Kansas
12,Marquis Teague,SG,6-2,189,February 28 1993,1,University of Kentucky
33,Mirza Teletovic,SF,6-9,242,September 18 1985,1,
31,Jason Terry,PG,6-2,185,September 15 1977,14,University of Arizona
10,Marcus Thornton,SG,6-4,205,June 5 1987,4,Louisiana State University
8,Deron Williams,PG,6-3,200,June 26 1984,8,University of Illinois at Urbana-Champaign
