
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Alan Anderson,SG,6-6,220,October 16 1982,1,Michigan State University
23,Derek Anderson,SF,6-5,194,July 18 1974,9,University of Kentucky
7,Primoz Brezec,C,7-2,252,October 2 1979,5,
13,Matt Carroll,SG,6-6,212,August 28 1980,3,University of Notre Dame
2,Melvin Ely,PF,6-10,260,May 2 1978,4,California State University Fresno
20,Raymond Felton,PG,6-1,205,June 26 1984,1,University of North Carolina
24,Othella Harrington,PF,6-9,235,January 31 1974,10,Georgetown University
5,Walter Herrmann,PF,6-9,225,June 26 1979,R,
1,Ryan Hollins,C,7-0,240,October 10 1984,R,University of California Los Angeles
22,Brevin Knight,PG,5-10,173,November 8 1975,9,Stanford University
42,Sean May,PF,6-9,266,April 4 1984,1,University of North Carolina
0,Jeff McInnis,PG,6-4,190,October 22 1974,9,University of North Carolina
35,Adam Morrison,PF,6-8,205,July 19 1984,R,Gonzaga University
50,Emeka Okafor,C,6-10,252,September 28 1982,2,University of Connecticut
21,Bernard Robinson,SG,6-6,210,December 26 1980,2,University of Michigan
43,Jake Voskuhl,C,6-11,245,November 1 1977,6,University of Connecticut
3,Gerald Wallace,SF,6-7,215,July 23 1982,5,University of Alabama
55,Eric Williams,SF,6-8,220,July 17 1972,11,Providence College
