
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
35,Malik Allen,PF,6-10,255,June 27 1978,4,Villanova University
13,Eddie Basden,SF,6-5,215,February 15 1983,R,University of North Carolina at Charlotte
3,Tyson Chandler,C,7-1,240,October 2 1982,4,
9,Luol Deng,SF,6-9,220,April 16 1985,1,Duke University
21,Chris Duhon,PG,6-1,185,August 31 1982,1,Duke University
7,Ben Gordon,SG,6-3,200,April 4 1983,1,University of Connecticut
1,Stephen Graham,SG,6-6,215,June 11 1982,R,Oklahoma State University
24,Othella Harrington,C,6-9,235,January 31 1974,9,Georgetown University
12,Kirk Hinrich,PG,6-4,190,January 2 1981,2,University of Kansas
6,Randy Holcomb,SF,6-9,225,August 8 1979,R,San Diego State University
1,Randy Livingston,PG,6-4,209,April 2 1975,9,Louisiana State University
5,Andres Nocioni,PF,6-7,225,November 30 1979,1,
15,Jannero Pargo,PG,6-1,175,October 22 1979,3,University of Arkansas
52,Eric Piatkowski,SG,6-7,215,September 30 1970,11,University of Nebraska
45,Luke Schenscher,C,7-1,255,December 31 1982,R,Georgia Institute of Technology
25,Darius Songaila,PF,6-9,248,February 14 1978,2,Wake Forest University
50,Mike Sweetney,C,6-8,275,October 25 1982,2,Georgetown University
30,James Thomas,PF,6-8,235,November 22 1980,1,University of Texas at Austin
2,Tim Thomas,SF,6-10,230,February 26 1977,8,Villanova University
