
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
8,Bismack Biyombo,C,6-9,245,August 28 1992,3,
30,Troy Daniels,SG,6-4,205,July 15 1991,1,Virginia Commonwealth University
19,P.J. Hairston,SG,6-6,230,December 24 1992,R,University of North Carolina
9,Gerald Henderson,SG,6-5,215,December 9 1987,5,Duke University
25,Al Jefferson,C,6-10,289,January 4 1985,10,
14,Michael Kidd-Gilchrist,SF,6-7,232,September 26 1993,2,University of Kentucky
54,Jason Maxiell,PF,6-7,260,February 18 1983,9,University of Cincinnati
12,Gary Neal,SG,6-4,210,October 3 1984,4,Towson University
5,Jannero Pargo,PG,6-1,175,October 22 1979,10,University of Arkansas
22,Brian Roberts,PG,6-1,173,December 3 1985,2,University of Dayton
1,Lance Stephenson,SG,6-5,230,September 5 1990,4,University of Cincinnati
44,Jeffery Taylor,SF,6-7,225,May 23 1989,2,Vanderbilt University
11,Noah Vonleh,PF,6-10,240,August 24 1995,R,Indiana University
15,Kemba Walker,PG,6-1,172,May 8 1990,3,University of Connecticut
2,Marvin Williams,PF,6-9,237,June 19 1986,9,University of North Carolina
7,Mo Williams,PG,6-1,198,December 19 1982,11,University of Alabama
40,Cody Zeller,C,7-0,240,October 5 1992,1,Indiana University
