
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,J.J. Barea,SG,6-0,185,June 26 1984,2,Northeastern University
32,Brandon Bass,C,6-8,250,April 30 1985,3,Louisiana State University
13,Matt Carroll,SG,6-6,212,August 28 1980,5,University of Notre Dame
25,Erick Dampier,C,6-11,265,July 14 1975,12,Mississippi State University
7,DeSagana Diop,C,7-0,300,January 30 1982,7,
40,Devean George,SF,6-8,220,August 29 1977,9,Augsburg College
8,Gerald Green,SG,6-7,205,January 26 1986,3,
1,Ryan Hollins,C,7-0,240,October 10 1984,2,University of California Los Angeles
5,Josh Howard,SF,6-7,210,April 28 1980,5,Wake Forest University
2,Jason Kidd,PG,6-4,205,March 23 1973,14,University of California
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,10,
33,James Singleton,PF,6-8,216,July 20 1981,2,Murray State University
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,13,University of North Carolina
31,Jason Terry,SG,6-2,185,September 15 1977,9,University of Arizona
4,Shawne Williams,SF,6-9,225,February 16 1986,2,University of Memphis
21,Antoine Wright,SF,6-7,210,February 6 1984,3,Texas A&amp;M University
