
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
13,Corey Brewer,SF,6-9,186,March 5 1986,5,University of Florida
21,Wilson Chandler,PF,6-8,225,May 10 1987,5,DePaul University
35,Kenneth Faried,PF,6-8,228,November 19 1989,1,Morehead State University
94,Evan Fournier,SG,6-7,205,October 29 1992,R,
8,Danilo Gallinari,SF,6-10,225,August 8 1988,4,
1,Jordan Hamilton,SF,6-7,220,October 6 1990,1,University of Texas at Austin
9,Andre Iguodala,SG,6-6,207,January 28 1984,8,University of Arizona
41,Kosta Koufos,C,7-0,265,February 24 1989,4,Ohio State University
3,Ty Lawson,PG,5-11,195,November 3 1987,3,University of North Carolina
34,JaVale McGee,C,7-0,270,January 19 1988,4,University of Nevada Reno
24,Andre Miller,PG,6-3,200,March 19 1976,13,University of Utah
30,Quincy Miller,PF,6-9,210,November 18 1992,R,Baylor University
25,Timofey Mozgov,C,7-1,275,July 16 1986,2,
15,Anthony Randolph,PF,6-10,205,July 15 1989,4,Louisiana State University
10,Julyan Stone,PG,6-6,200,December 7 1988,1,University of Texas at El Paso
