
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Joel Anthony,C,6-9,245,August 9 1982,7,University of Nevada Las Vegas
14,D.J. Augustin,PG,6-0,183,November 10 1987,6,University of Texas at Austin
31,Caron Butler,SF,6-7,228,March 13 1980,12,University of Connecticut
5,Kentavious Caldwell-Pope,SG,6-5,205,February 18 1993,1,University of Georgia
13,Luigi Datome,SF,6-8,215,November 27 1987,1,
8,Spencer Dinwiddie,PG,6-6,200,April 6 1993,R,University of Colorado
0,Andre Drummond,C,6-11,279,August 10 1993,2,University of Connecticut
1,Reggie Jackson,PG,6-3,208,April 16 1990,3,Boston College
7,Brandon Jennings,PG,6-1,169,September 23 1989,5,
33,Jonas Jerebko,PF,6-10,231,March 2 1987,4,
9,John Lucas III,PG,5-11,165,November 21 1982,6,Oklahoma State University
35,Cartier Martin,SF,6-7,220,November 20 1984,6,Kansas State University
20,Jodie Meeks,SG,6-4,208,August 21 1987,5,University of Kentucky
20,Quincy Miller,PF,6-9,210,November 18 1992,2,Baylor University
10,Greg Monroe,PF,6-11,265,June 4 1990,4,Georgetown University
22,Tayshaun Prince,SF,6-9,212,February 28 1980,12,University of Kentucky
25,Kyle Singler,SF,6-8,228,May 4 1988,2,Duke University
6,Josh Smith,PF,6-9,225,December 5 1985,10,
43,Anthony Tolliver,PF,6-8,240,June 1 1985,6,Creighton University
3,Shawne Williams,SF,6-9,225,February 16 1986,6,University of Memphis
