
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Kelenna Azubuike,SG,6-5,220,December 16 1983,1,University of Kentucky
22,Matt Barnes,PF,6-7,226,March 9 1980,4,University of California Los Angeles
18,Marco Belinelli,PG,6-5,210,March 25 1986,R,
15,Andris Biedrins,C,6-11,240,April 2 1986,3,
44,Austin Croshere,PF,6-9,235,May 1 1975,10,Providence College
5,Baron Davis,PG,6-3,209,April 13 1979,8,University of California Los Angeles
8,Monta Ellis,SG,6-3,185,October 26 1985,2,
3,Al Harrington,C,6-9,230,February 17 1980,9,
6,Troy Hudson,PG,6-1,170,March 13 1976,10,Southern Illinois University
28,Didier Ilunga-Mbenga,C,7-0,245,December 30 1980,3,
1,Stephen Jackson,SF,6-8,218,April 5 1978,7,Butler County Community College
12,Stephane Lasme,SF,6-8,215,December 17 1982,R,University of Massachusetts Amherst
26,Patrick O'Bryant,C,7-0,260,June 20 1986,1,Bradley University
19,Kosta Perovic,C,7-2,240,February 19 1985,R,
2,Mickael Pietrus,SF,6-6,215,February 7 1982,4,
4-23,C.J. Watson,PG,6-2,175,April 17 1984,R,University of Tennessee
4,Chris Webber,PF,6-9,245,March 1 1973,14,University of Michigan
32,Brandan Wright,PF,6-10,210,October 5 1987,R,University of North Carolina
