
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Rafer Alston,PG,6-2,171,July 24 1976,7,California State University Fresno
31,Shane Battier,SF,6-8,220,September 9 1978,5,Duke University
44,Chuck Hayes,PF,6-6,240,June 11 1983,1,University of Kentucky
2,Luther Head,SG,6-3,185,November 26 1982,1,University of Illinois at Urbana-Champaign
5,Juwan Howard,PF,6-9,240,February 7 1973,12,University of Michigan
15,John Lucas III,PG,5-11,165,November 21 1982,1,Oklahoma State University
1,Tracy McGrady,SG,6-8,210,May 24 1979,9,
11,Yao Ming,C,7-6,310,September 12 1980,4,
55,Dikembe Mutombo,C,7-2,245,June 25 1966,15,Georgetown University
20,Steve Novak,SF,6-10,225,June 13 1983,R,Marquette University
35,Scott Padgett,PF,6-9,240,April 19 1976,7,University of Kentucky
13,Kirk Snyder,SF,6-6,225,June 5 1983,2,University of Nevada Reno
10,Vassilis Spanoulis,SG,6-4,195,August 7 1982,R,
25,Jake Tsakalidis,C,7-2,285,June 10 1979,6,
6,Bonzi Wells,SF,6-5,210,September 28 1976,8,Ball State University
