
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Travis Diener,PG,6-1,175,March 1 1982,4,Marquette University
17,Mike Dunleavy,SF,6-9,230,September 15 1980,7,Duke University
5,T.J. Ford,PG,6-0,165,March 24 1983,5,University of Texas at Austin
10,Jeff Foster,C,6-11,236,January 16 1977,10,Texas State University
33,Danny Granger,SF,6-9,222,April 20 1983,4,University of New Mexico
50,Tyler Hansbrough,PF,6-9,250,November 3 1985,R,University of North Carolina
13,Luther Head,SG,6-3,185,November 26 1982,4,University of Illinois at Urbana-Champaign
55,Roy Hibbert,C,7-2,270,December 11 1986,1,Georgetown University
1,Dahntay Jones,SF,6-6,225,December 27 1980,6,Duke University
44,Solomon Jones,C,6-10,230,July 16 1984,3,University of South Florida
32,Josh McRoberts,C,6-10,240,February 28 1987,2,Duke University
3,Troy Murphy,PF,6-11,245,May 2 1980,8,University of Notre Dame
22,A.J. Price,PG,6-2,181,October 7 1986,R,University of Connecticut
25,Brandon Rush,SG,6-6,210,July 7 1985,1,University of Kansas
2,Earl Watson,PG,6-1,195,June 12 1979,8,University of California Los Angeles
