
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Alex Acker,SG,6-5,185,January 21 1983,1,Pepperdine University
23,Marcus Camby,C,6-11,220,March 22 1974,12,University of Massachusetts Amherst
25,Mardy Collins,PG,6-6,220,August 4 1984,2,Temple University
1,Baron Davis,PG,6-3,209,April 13 1979,9,University of California Los Angeles
40,Paul Davis,PF,6-11,270,July 21 1984,2,Michigan State University
31,Ricky Davis,SG,6-6,195,September 23 1979,10,University of Iowa
10,Eric Gordon,SG,6-4,215,December 25 1988,R,Indiana University
6,Jason Hart,PG,6-3,185,April 29 1978,7,Syracuse University
2,Fred Jones,SF,6-4,210,March 11 1979,6,University of Oregon
9,DeAndre Jordan,C,6-11,265,July 21 1988,R,Texas A&amp;M University
35,Chris Kaman,C,7-0,265,April 28 1982,5,Central Michigan University
5,Cuttino Mobley,SG,6-4,190,September 1 1975,10,University of Rhode Island
20,Steve Novak,PF,6-10,225,June 13 1983,2,Marquette University
50,Zach Randolph,PF,6-9,260,July 16 1981,7,Michigan State University
34,Cheikh Samb,C,7-1,245,October 22 1984,1,
8,Brian Skinner,PF,6-9,255,May 19 1976,10,Baylor University
4,Mike Taylor,PG,6-2,165,January 21 1986,R,Iowa State University
2,Tim Thomas,PF,6-10,230,February 26 1977,11,Villanova University
12,Al Thornton,SF,6-8,220,December 7 1983,1,Florida State University
