
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
9,Matt Barnes,SF,6-7,226,March 9 1980,7,University of California Los Angeles
5,Steve Blake,PG,6-3,172,February 26 1980,7,University of Maryland
12,Shannon Brown,SG,6-4,205,November 29 1985,4,Michigan State University
24,Kobe Bryant,SG,6-6,212,August 23 1978,14,
17,Andrew Bynum,C,7-0,285,October 27 1987,5,
45,Derrick Caracter,C,6-9,275,May 4 1988,R,University of Texas at El Paso
3,Devin Ebanks,SG,6-9,215,October 28 1989,R,West Virginia University
2,Derek Fisher,PG,6-1,200,August 9 1974,14,University of Arkansas at Little Rock
16,Pau Gasol,C,7-0,250,July 6 1980,9,
10,Trey Johnson,SG,6-5,218,August 30 1984,1,Jackson State University
7,Lamar Odom,PF,6-10,220,November 6 1979,11,University of Rhode Island
50,Theo Ratliff,C,6-10,225,April 17 1973,15,University of Wyoming
1,Joe Smith,PF,6-10,225,July 26 1975,15,University of Maryland
18,Sasha Vujacic,SG,6-7,195,March 8 1984,6,
4,Luke Walton,SF,6-8,235,March 28 1980,7,University of Arizona
15,Metta World Peace,SF,6-6,260,November 13 1979,11,St. John's University
