
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
9,Tony Allen,SG,6-4,213,January 11 1982,7,Oklahoma State University
10,Gilbert Arenas,PG,6-3,191,January 6 1982,10,University of Arizona
11,Mike Conley,PG,6-1,175,October 11 1987,4,Ohio State University
44,Dante Cunningham,PF,6-8,230,April 22 1987,2,Villanova University
18,Josh Davis,PF,6-8,235,August 10 1980,3,University of Wyoming
33,Marc Gasol,C,7-1,255,January 29 1985,3,
22,Rudy Gay,SF,6-8,230,August 17 1986,5,University of Connecticut
15,Hamed Haddadi,C,7-2,254,May 19 1985,3,
14,Lester Hudson,PG,6-3,190,August 7 1984,2,University of Tennessee at Martin
32,O.J. Mayo,SG,6-5,210,November 5 1987,3,University of Southern California
1,Jeremy Pargo,PG,6-2,219,March 17 1986,R,Gonzaga University
20,Quincy Pondexter,SF,6-7,220,March 10 1988,1,University of Washington
50,Zach Randolph,PF,6-9,260,July 16 1981,10,Michigan State University
2,Josh Selby,PG,6-2,183,March 27 1991,R,University of Kansas
3,Brian Skinner,C,6-9,255,May 19 1976,13,Baylor University
5,Marreese Speights,PF,6-10,255,August 4 1987,3,University of Florida
4,Sam Young,SF,6-6,220,June 1 1985,2,University of Pittsburgh
