
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Joel Anthony,C,6-9,245,August 9 1982,1,University of Nevada Las Vegas
5,Marcus Banks,PG,6-2,200,November 19 1981,5,University of Nevada Las Vegas
30,Michael Beasley,PF,6-9,235,January 9 1989,R,Kansas State University
15,Mark Blount,C,7-0,230,November 30 1975,8,University of Pittsburgh
6,Mario Chalmers,PG,6-2,190,May 19 1986,R,University of Kansas
14,Daequan Cook,SF,6-5,205,April 28 1987,1,Ohio State University
9,Yakhouba Diawara,SF,6-7,225,August 29 1982,2,Pepperdine University
40,Udonis Haslem,PF,6-8,235,June 9 1980,5,University of Florida
13,Luther Head,SG,6-3,185,November 26 1982,3,University of Illinois at Urbana-Champaign
22,James Jones,SF,6-8,218,October 4 1980,5,University of Miami
8,Shaun Livingston,PG,6-7,182,September 11 1985,3,
21,Jamaal Magloire,C,6-11,259,May 21 1978,8,University of Kentucky
7,Shawn Marion,SF,6-7,220,May 7 1978,9,University of Nevada Las Vegas
8,Jamario Moon,SF,6-8,205,June 13 1980,1,Meridian Community College
7,Jermaine O'Neal,C,6-11,226,October 13 1978,12,
11,Chris Quinn,PG,6-2,185,September 27 1983,2,University of Notre Dame
3,Dwyane Wade,SG,6-4,220,January 17 1982,5,Marquette University
1,Dorell Wright,SF,6-7,200,December 2 1985,4,
