
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Marcus Banks,PG,6-2,200,November 19 1981,2,University of Nevada Las Vegas
30,Mark Blount,C,7-0,230,November 30 1975,5,University of Pittsburgh
7,Anthony Carter,PG,6-1,190,June 16 1975,6,University of Hawaii
31,Ricky Davis,SF,6-6,195,September 23 1979,7,University of Iowa
12,Ronald Dupree,SF,6-7,209,January 26 1981,2,Louisiana State University
24,Richie Frahm,SG,6-5,210,August 14 1977,2,Gonzaga University
21,Kevin Garnett,PF,6-11,240,May 19 1976,10,
41,Eddie Griffin,C,6-10,220,May 30 1982,3,Seton Hall University
23,Trenton Hassell,SG,6-5,200,March 4 1979,4,Austin Peay State University
16,Troy Hudson,PG,6-1,170,March 13 1976,8,Southern Illinois University
55,Marko Jaric,PG,6-7,198,October 12 1978,3,
35,Mark Madsen,C,6-9,240,January 28 1976,5,Stanford University
1,Rashad McCants,SG,6-4,207,September 25 1984,R,University of North Carolina
34,Michael Olowokandi,C,7-0,269,April 3 1975,7,University of the Pacific
9,Justin Reed,SF,6-8,240,January 16 1982,1,University of Mississippi
10,Wally Szczerbiak,SF,6-7,244,March 5 1977,6,Miami University
17,Nikoloz Tskitishvili,PF,7-0,225,April 14 1983,3,
6,Bracey Wright,SG,6-3,210,July 1 1984,R,Indiana University
