
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Rafer Alston,PG,6-2,171,July 24 1976,10,California State University Fresno
7,Tony Battie,C,6-11,230,February 11 1976,11,Texas Tech University
2,Josh Boone,PF,6-10,237,November 21 1984,3,University of Connecticut
55,Keyon Dooling,PG,6-3,196,May 8 1980,9,University of Missouri
17,Chris Douglas-Roberts,SF,6-7,200,January 8 1987,1,University of Memphis
34,Devin Harris,PG,6-3,192,February 27 1983,5,University of Wisconsin
44,Trenton Hassell,SF,6-5,200,March 4 1979,8,Austin Peay State University
22,Jarvis Hayes,SF,6-7,220,August 9 1981,6,University of Georgia
43,Kris Humphries,PF,6-9,235,February 6 1985,5,University of Minnesota
9,Yi Jianlian,PF,7-0,238,October 27 1987,2,
6,Courtney Lee,SG,6-5,200,October 3 1985,1,Western Kentucky University
11,Brook Lopez,C,7-0,275,April 1 1988,1,Stanford University
14,Eduardo Najera,PF,6-8,240,July 11 1976,9,University of Oklahoma
1,Chris Quinn,PG,6-2,185,September 27 1983,3,University of Notre Dame
21,Bobby Simmons,PF,6-7,210,June 2 1980,7,DePaul University
51,Sean Williams,PF,6-10,235,September 13 1986,2,Boston College
8,Terrence Williams,SF,6-6,220,June 28 1987,R,University of Louisville
