
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,David Andersen,PF,6-11,245,June 23 1980,1,
1,Trevor Ariza,SF,6-8,215,June 30 1985,6,University of California Los Angeles
32,Jerryd Bayless,PG,6-3,200,August 20 1988,2,University of Arizona
8,Marco Belinelli,SG,6-5,210,March 25 1986,3,
22,Patrick Ewing,SF,6-8,235,May 20 1984,R,Georgetown University
34,Aaron Gray,C,7-0,270,December 7 1984,3,University of Pittsburgh
33,Willie Green,SG,6-4,200,July 28 1981,7,University of Detroit Mercy
28,Didier Ilunga-Mbenga,C,7-0,245,December 30 1980,6,
2,Jarrett Jack,SG,6-3,200,October 28 1983,5,Georgia Institute of Technology
24,Carl Landry,PF,6-9,248,September 19 1983,3,Purdue University
44,Pops Mensah-Bonsu,PF,6-9,240,September 7 1983,3,George Washington University
50,Emeka Okafor,C,6-10,252,September 28 1982,6,University of Connecticut
3,Chris Paul,PG,6-0,175,May 6 1985,5,Wake Forest University
6,Sasha Pavlovic,SG,6-8,220,November 15 1983,7,
20,Quincy Pondexter,SF,6-7,220,March 10 1988,R,University of Washington
14,Jason Smith,C,7-0,245,March 2 1986,2,Colorado State University
16,Peja Stojakovic,SF,6-9,220,June 9 1977,12,
5,Marcus Thornton,SG,6-4,205,June 5 1987,1,Louisiana State University
30,David West,PF,6-9,250,August 29 1980,7,Xavier University
