
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Chris Andersen,C,6-10,245,July 7 1978,4,Blinn College
33,Brandon Bass,PF,6-8,250,April 30 1985,R,Louisiana State University
42,P.J. Brown,C,6-11,225,October 14 1969,12,Louisiana Tech University
45,Rasual Butler,SF,6-7,215,May 23 1979,3,La Salle University
5,Speedy Claxton,PG,5-11,166,May 8 1978,4,Hofstra University
21,Marcus Fizer,PF,6-9,262,August 10 1978,5,Iowa State University
44,Marc Jackson,C,6-10,270,January 16 1975,5,Temple University
43,Linton Johnson,SF,6-8,205,June 13 1980,2,Tulane University
15,Maciej Lampe,C,6-11,275,February 5 1985,2,
6,Arvydas Macijauskas,SG,6-4,214,January 19 1980,R,
24,Desmond Mason,SF,6-7,224,October 11 1977,5,Oklahoma State University
10,Bostjan Nachbar,PF,6-9,221,July 3 1980,3,
25,Moochie Norris,PG,6-1,175,July 27 1973,8,University of West Florida
3,Chris Paul,PG,6-0,175,May 6 1985,R,Wake Forest University
23,J.R. Smith,SG,6-6,225,September 9 1985,1,
1,Kirk Snyder,SG,6-6,225,June 5 1983,1,University of Nevada Reno
4,Jackson Vroman,PF,6-10,220,June 6 1981,1,Iowa State University
30,David West,PF,6-9,250,August 29 1980,2,Xavier University
34,Aaron Williams,C,6-9,220,October 2 1971,11,Xavier University
