
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
30,Earl Barron,C,7-0,250,August 14 1981,3,University of Memphis
9,Jonathan Bender,SF,6-11,202,January 30 1981,7,
21,Wilson Chandler,SG,6-8,225,May 10 1987,2,DePaul University
34,Eddy Curry,C,7-0,295,December 5 1982,8,
23,Toney Douglas,PG,6-2,195,March 16 1986,R,Florida State University
1,Chris Duhon,PG,6-1,185,August 31 1982,5,Duke University
8,Danilo Gallinari,SF,6-10,225,August 8 1988,1,
4,J.R. Giddens,SF,6-5,215,February 13 1985,1,University of New Mexico
7,Al Harrington,PF,6-9,230,February 17 1980,11,
43,Jordan Hill,PF,6-10,235,July 27 1987,R,University of Arizona
50,Eddie House,SG,6-1,180,May 14 1978,9,Arizona State University
0,Larry Hughes,SG,6-5,184,January 23 1979,11,Saint Louis University
20,Jared Jeffries,PF,6-11,230,November 25 1981,7,Indiana University
11,Marcus Landry,SF,6-7,230,November 1 1985,R,University of Wisconsin
42,David Lee,C,6-9,245,April 29 1983,4,University of Florida
3,Tracy McGrady,SG,6-8,210,May 24 1979,12,
31,Darko Milicic,C,7-0,250,June 20 1985,6,
2,Nate Robinson,PG,5-9,180,May 31 1984,4,University of Washington
13,Sergio Rodriguez,PG,6-3,168,June 12 1986,3,
5,Henry Walker,SG,6-6,220,October 9 1987,1,Kansas State University
