
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
13,Chucky Atkins,PG,5-11,160,August 14 1974,9,University of South Florida
4,Nick Collison,C,6-10,255,October 26 1980,4,University of Kansas
35,Kevin Durant,SF,6-9,240,September 29 1988,1,University of Texas at Austin
22,Jeff Green,PF,6-9,235,August 28 1986,1,Georgetown University
51,Steven Hill,PF,7-0,248,November 14 1985,R,University of Arkansas
12,Nenad Krstic,C,7-0,240,July 25 1983,4,
14,Shaun Livingston,PG,6-7,182,September 11 1985,3,
34,Desmond Mason,SG,6-7,224,October 11 1977,8,Oklahoma State University
27,Johan Petro,C,7-0,247,January 27 1986,3,
9,Malik Rose,SF,6-7,250,November 23 1974,12,Drexel University
2,Thabo Sefolosha,SG,6-7,220,May 2 1984,2,
18,Mouhamed Sene,C,6-11,230,May 12 1986,2,
7,Joe Smith,C,6-10,225,July 26 1975,13,University of Maryland
31,Robert Swift,C,7-0,245,December 3 1985,3,
25,Earl Watson,PG,6-1,195,June 12 1979,7,University of California Los Angeles
5,Kyle Weaver,SG,6-6,201,February 18 1986,R,Washington State University
0,Russell Westbrook,PG,6-3,200,November 12 1988,R,University of California Los Angeles
3,D.J. White,PF,6-9,251,August 31 1986,R,Indiana University
54,Chris Wilcox,C,6-10,221,September 3 1982,6,University of Maryland
21,Damien Wilkins,SG,6-6,225,January 11 1980,4,University of Georgia
