
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Arron Afflalo,SG,6-5,210,October 15 1985,6,University of California Los Angeles
11,Glen Davis,PF,6-9,289,January 1 1986,6,Louisiana State University
3,Dewayne Dedmon,C,7-0,245,August 12 1989,R,University of Southern California
21,Maurice Harkless,SF,6-9,215,May 11 1993,1,St. John's University
12,Tobias Harris,PF,6-9,235,July 15 1992,2,University of Tennessee
22,Solomon Jones,PF,6-10,230,July 16 1984,7,University of South Florida
1,Doron Lamb,SG,6-4,210,November 6 1991,1,University of Kentucky
54,Jason Maxiell,PF,6-7,260,February 18 1983,8,University of Cincinnati
55,E'Twaun Moore,SG,6-4,191,February 28 1989,2,Purdue University
14,Jameer Nelson,PG,6-0,190,February 9 1982,9,Saint Joseph's University
44,Andrew Nicholson,PF,6-9,250,December 8 1989,1,St. Bonaventure University
2,Kyle O'Quinn,C,6-10,250,March 26 1990,1,Norfolk State University
5,Victor Oladipo,PG,6-4,210,May 4 1992,R,Indiana University
10,Ronnie Price,SG,6-2,190,June 21 1983,8,Utah Valley State College
8,Adonis Thomas,SF,6-7,200,March 25 1993,R,University of Memphis
9,Nikola Vucevic,C,7-0,260,October 24 1990,2,University of Southern California
