
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Lavoy Allen,PF,6-9,255,February 4 1989,2,Temple University
9,James Anderson,SG,6-6,213,March 25 1989,3,Oklahoma State University
7,Lorenzo Brown,PG,6-5,189,August 26 1990,R,North Carolina State University
1,Michael Carter-Williams,PG,6-6,190,October 10 1991,R,Syracuse University
20,Brandon Davies,PF,6-10,240,July 25 1991,R,Brigham Young University
30,Dewayne Dedmon,C,7-0,245,August 12 1989,R,University of Southern California
00,Spencer Hawes,C,7-1,245,April 28 1988,6,University of Washington
0,Darius Johnson-Odom,SG,6-2,215,September 28 1989,1,Marquette University
11,Eric Maynor,PG,6-3,175,June 11 1987,4,Virginia Commonwealth University
7,Darius Morris,PG,6-4,190,January 3 1991,2,University of Michigan
5,Arnett Moultrie,PF,6-11,249,November 18 1990,1,Mississippi State University
30,Byron Mullens,C,7-0,275,February 14 1989,4,Ohio State University
12,James Nunnally,SF,6-7,205,July 14 1990,R,University of California Santa Barbara
33,Daniel Orton,C,6-10,255,August 6 1990,2,University of Kentucky
35,Henry Sims,C,6-10,248,March 27 1990,1,Georgetown University
7,Adonis Thomas,F,6-7,200,March 25 1993,R,University of Memphis
31,Hollis Thompson,SF,6-8,206,April 3 1991,R,Georgetown University
12,Evan Turner,SF,6-7,220,October 27 1988,3,Ohio State University
40,Jarvis Varnado,PF,6-9,230,March 1 1988,1,Mississippi State University
17,Casper Ware,PG,5-10,175,January 17 1990,R,California State University Long Beach
25,Elliot Williams,SG,6-5,190,June 20 1989,1,University of Memphis
8,Tony Wroten,PG,6-6,205,April 13 1993,1,University of Washington
21,Thaddeus Young,PF,6-8,221,June 21 1988,6,Georgia Institute of Technology
