
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
30,Earl Barron,C,7-0,250,August 14 1981,4,University of Memphis
0,Aaron Brooks,PG,6-0,161,January 14 1985,3,University of Oregon
25,Vince Carter,SG,6-6,220,January 26 1977,12,University of North Carolina
1,Josh Childress,SG,6-8,210,June 20 1983,4,Stanford University
55,Earl Clark,SF,6-10,225,January 17 1988,1,University of Louisville
22,Zabian Dowdell,PG,6-3,191,September 10 1984,R,Virginia Polytechnic Institute and State University
2,Goran Dragic,PG,6-3,190,May 6 1986,2,
3,Jared Dudley,SF,6-7,225,July 10 1985,3,Boston College
8,Channing Frye,PF,6-11,255,May 17 1983,5,University of Arizona
4,Marcin Gortat,C,6-11,240,February 17 1984,3,
33,Grant Hill,SF,6-8,225,October 5 1972,15,Duke University
31,Gani Lawal,PF,6-9,234,November 7 1988,R,Georgia Institute of Technology
15,Robin Lopez,C,7-0,255,April 1 1988,2,Stanford University
13,Steve Nash,PG,6-3,195,February 7 1974,14,Santa Clara University
12,Mickael Pietrus,SG,6-6,215,February 7 1982,7,
23,Jason Richardson,SG,6-6,220,January 20 1981,9,Michigan State University
20,Garret Siler,C,6-11,305,October 25 1986,R,Augusta State University
19,Hedo Turkoglu,PF,6-10,220,March 19 1979,10,
21,Hakim Warrick,PF,6-9,219,July 8 1982,5,Syracuse University
