
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,LaMarcus Aldridge,PF,6-11,240,July 19 1985,2,University of Texas at Austin
88,Nicolas Batum,SF,6-8,200,December 14 1988,R,
4,Jerryd Bayless,PG,6-3,200,August 20 1988,R,University of Arizona
2,Steve Blake,PG,6-3,172,February 26 1980,5,University of Maryland
1,Ike Diogu,PF,6-8,250,September 11 1983,3,Arizona State University
5,Rudy Fernandez,SG,6-6,185,April 4 1985,R,
44,Channing Frye,PF,6-11,255,May 17 1983,3,University of Arizona
52,Greg Oden,C,7-0,250,January 22 1988,R,Ohio State University
25,Travis Outlaw,SF,6-9,210,September 18 1984,5,
10,Joel Przybilla,C,7-1,255,October 10 1979,8,University of Minnesota
42,Shavlik Randolph,PF,6-10,240,November 24 1983,3,Duke University
11,Sergio Rodriguez,PG,6-3,168,June 12 1986,2,
7,Brandon Roy,SG,6-6,215,July 23 1984,2,University of Washington
51,Michael Ruffin,PF,6-9,246,January 21 1977,8,University of Tulsa
8,Martell Webster,SF,6-7,230,December 4 1986,3,
