
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
32,Sim Bhullar,C,7-5,360,December 2 1992,R,New Mexico State University
18,Omri Casspi,SF,6-9,225,June 22 1988,5,
7,Darren Collison,PG,6-0,175,August 23 1987,5,University of California Los Angeles
15,DeMarcus Cousins,C,6-11,270,August 13 1990,4,University of Kentucky
30,Reggie Evans,PF,6-8,245,May 18 1980,12,University of Iowa
8,Rudy Gay,SF,6-8,230,August 17 1986,8,University of Connecticut
5,Ryan Hollins,C,7-0,240,October 10 1984,8,University of California Los Angeles
24,Carl Landry,PF,6-9,248,September 19 1983,7,Purdue University
3,Ray McCallum,PG,6-3,190,June 12 1991,1,University of Detroit Mercy
23,Ben McLemore,SG,6-5,195,February 11 1993,1,University of Kansas
22,Andre Miller,PG,6-3,200,March 19 1976,15,University of Utah
20,Quincy Miller,PF,6-9,210,November 18 1992,2,Baylor University
25,Eric Moreland,PF,6-10,238,December 24 1991,R,Oregon State University
9,Ramon Sessions,PG,6-3,190,April 11 1986,7,University of Nevada Reno
10,Nik Stauskas,SG,6-6,205,October 7 1993,R,University of Michigan
9,David Stockton,PG,5-11,165,June 24 1991,R,Gonzaga University
34,Jason Thompson,PF,6-11,250,July 21 1986,6,Rider University
31,David Wear,PF,6-10,230,September 21 1990,R,University of California Los Angeles
13,Derrick Williams,PF,6-8,240,May 25 1991,3,University of Arizona
