
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
11,James Anderson,SF,6-6,213,March 25 1989,2,Oklahoma State University
16,Aron Baynes,C,6-10,260,December 9 1986,R,Washington State University
45,DeJuan Blair,PF,6-7,270,April 22 1989,3,University of Pittsburgh
15,Matt Bonner,PF,6-10,235,April 5 1980,8,University of Florida
25,Nando De Colo,SG,6-5,200,June 23 1987,R,
33,Boris Diaw,PF,6-8,250,April 16 1982,9,
21,Tim Duncan,C,6-11,250,April 25 1976,15,Wake Forest University
20,Manu Ginobili,SG,6-6,205,July 28 1977,10,
4,Danny Green,SG,6-6,215,June 22 1987,3,University of North Carolina
3,Stephen Jackson,SF,6-8,218,April 5 1978,12,Butler County Community College
5,Cory Joseph,PG,6-3,190,August 20 1991,1,University of Texas at Austin
2,Kawhi Leonard,SF,6-7,230,June 29 1991,1,San Diego State University
8,Patrick Mills,PG,6-0,185,August 11 1988,3,Saint Mary's College of California
14,Gary Neal,SG,6-4,210,October 3 1984,2,Towson University
9,Tony Parker,PG,6-2,185,May 17 1982,11,
22,Tiago Splitter,PF,6-11,245,January 1 1985,2,
