
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
34,Ray Allen,SG,6-5,205,July 20 1975,9,University of Connecticut
5,Rick Brunson,PG,6-4,190,June 14 1972,8,Temple University
24,Mateen Cleaves,PG,6-2,205,September 7 1977,5,Michigan State University
4,Nick Collison,PF,6-10,255,October 26 1980,1,University of Kansas
30,Reggie Evans,PF,6-8,245,May 18 1980,3,University of Iowa
16,Noel Felix,SF,6-9,225,October 4 1981,R,California State University Fresno
21,Danny Fortson,C,6-7,260,March 27 1976,8,University of Cincinnati
7,Rashard Lewis,SF,6-10,215,August 8 1979,7,
33,Mikki Moore,C,6-11,225,November 4 1975,7,University of Nebraska
22,Ronald Murray,SG,6-4,190,July 29 1979,3,Shaw University
27,Johan Petro,C,7-0,247,January 27 1986,R,
9,Vitaly Potapenko,C,6-10,280,March 21 1975,9,Wright State University
77,Vladimir Radmanovic,PF,6-10,227,November 19 1980,4,
8,Luke Ridnour,PG,6-2,175,February 13 1981,2,University of Oregon
31,Robert Swift,C,7-0,245,December 3 1985,1,
25,Earl Watson,PG,6-1,195,June 12 1979,4,University of California Los Angeles
54,Chris Wilcox,PF,6-10,221,September 3 1982,3,University of Maryland
12,Damien Wilkins,SF,6-6,225,January 11 1980,1,University of Georgia
29,Mike Wilks,PG,5-10,185,May 7 1979,3,Rice University
