
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Quincy Acy,PF,6-7,240,October 6 1990,R,Baylor University
6,Alan Anderson,SF,6-6,220,October 16 1982,3,Michigan State University
7,Andrea Bargnani,PF,7-0,245,October 26 1985,6,
8,Jose Calderon,PG,6-3,200,September 28 1981,7,
32,Ed Davis,C,6-10,240,June 5 1989,2,University of North Carolina
10,DeMar DeRozan,SG,6-7,220,August 7 1989,3,University of Southern California
2,Landry Fields,SF,6-7,210,June 27 1988,2,Stanford University
22,Rudy Gay,SF,6-8,230,August 17 1986,6,University of Connecticut
34,Aaron Gray,C,7-0,270,December 7 1984,5,University of Pittsburgh
15,Amir Johnson,PF,6-9,240,May 1 1987,7,
11,Linas Kleiza,SF,6-8,245,January 3 1985,6,University of Missouri
3,Kyle Lowry,PG,6-0,205,March 25 1986,6,Villanova University
5,John Lucas III,PG,5-11,165,November 21 1982,4,Oklahoma State University
1,Dominic McGuire,SF,6-9,220,October 20 1985,5,California State University Fresno
20,Mickael Pietrus,SF,6-6,215,February 7 1982,9,
31,Terrence Ross,SG,6-7,195,February 5 1991,R,University of Washington
13,Sebastian Telfair,PG,6-0,165,June 9 1985,8,
17,Jonas Valanciunas,C,7-0,255,May 6 1992,R,
