
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
5,Carlos Boozer,PF,6-9,258,November 20 1981,7,Duke University
9,Ronnie Brewer,SG,6-7,220,March 20 1985,3,University of Arkansas
44,Kyrylo Fesenko,C,7-1,288,December 24 1986,2,
15,Sundiata Gaines,PG,6-1,185,April 18 1986,R,University of Georgia
6,Othyus Jeffers,SG,6-5,200,August 5 1985,R,Robert Morris University (IL)
47,Andrei Kirilenko,SF,6-9,220,February 18 1981,8,
26,Kyle Korver,SG,6-7,212,March 17 1981,6,Creighton University
41,Kosta Koufos,C,7-0,265,February 24 1989,1,Ohio State University
23,Wesley Matthews,SG,6-5,220,October 14 1986,R,Marquette University
3,Eric Maynor,PG,6-3,175,June 11 1987,R,Virginia Commonwealth University
34,C.J. Miles,SF,6-6,231,April 18 1987,4,
24,Paul Millsap,PF,6-8,246,February 10 1985,3,Louisiana Tech University
13,Mehmet Okur,C,6-11,249,May 26 1979,7,
17,Ronnie Price,PG,6-2,190,June 21 1983,4,Utah Valley State College
8,Deron Williams,PG,6-3,200,June 26 1984,4,University of Illinois at Urbana-Champaign
