
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Bradley Beal,SG,6-5,207,June 28 1993,2,University of Florida
45,DeJuan Blair,PF,6-7,270,April 22 1989,5,University of Pittsburgh
8,Rasual Butler,SF,6-7,215,May 23 1979,11,La Salle University
1,Will Bynum,SG,6-0,185,January 4 1983,7,Georgia Institute of Technology
90,Drew Gooden,PF,6-10,250,September 24 1981,12,University of Kansas
4,Marcin Gortat,C,6-11,240,February 17 1984,7,
42,Nene Hilario,PF,6-11,250,September 13 1982,12,
43,Kris Humphries,PF,6-9,235,February 6 1985,10,University of Minnesota
24,Andre Miller,PG,6-3,200,March 19 1976,15,University of Utah
1,Toure' Murry,SG,6-5,195,November 8 1989,1,Wichita State University
34,Paul Pierce,SF,6-7,235,October 13 1977,16,University of Kansas
22,Otto Porter,SF,6-8,198,June 3 1993,1,Georgetown University
14,Glen Rice,SG,6-6,206,January 1 1991,1,Georgia Institute of Technology
13,Kevin Seraphin,C,6-10,278,December 7 1989,4,
7,Ramon Sessions,PG,6-3,190,April 11 1986,7,University of Nevada Reno
17,Garrett Temple,SG,6-6,195,May 8 1986,4,Louisiana State University
2,John Wall,PG,6-4,195,September 6 1990,4,University of Kentucky
9,Martell Webster,SF,6-7,230,December 4 1986,9,
