
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
34,Jason Collins,C,7-0,255,December 2 1978,10,Stanford University
25,Erick Dampier,C,6-11,265,July 14 1975,15,Mississippi State University
33,Willie Green,SG,6-4,200,July 28 1981,8,University of Detroit Mercy
6,Kirk Hinrich,SG,6-4,190,January 2 1981,8,University of Kansas
15,Al Horford,C,6-10,245,June 3 1986,4,University of Florida
44,Ivan Johnson,PF,6-8,230,April 10 1984,R,University of Oregon
2,Joe Johnson,SG,6-7,240,June 29 1981,10,University of Arkansas
1,Tracy McGrady,SF,6-8,210,May 24 1979,14,
27,Zaza Pachulia,C,6-11,270,February 10 1984,8,
7,Jannero Pargo,PG,6-1,175,October 22 1979,7,University of Arkansas
77,Vladimir Radmanovic,SF,6-10,227,November 19 1980,10,
12,Donald Sloan,PG,6-3,205,January 15 1988,R,Texas A&amp;M University
5,Josh Smith,PF,6-9,225,December 5 1985,7,
42,Jerry Stackhouse,SF,6-6,218,November 5 1974,16,University of North Carolina
0,Jeff Teague,PG,6-2,186,June 10 1988,2,Wake Forest University
24,Marvin Williams,SF,6-9,237,June 19 1986,6,University of North Carolina
