
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Joel Anthony,C,6-9,245,August 9 1982,6,University of Nevada Las Vegas
52,Chris Babb,SG,6-5,225,February 14 1990,R,Iowa State University
30,Brandon Bass,PF,6-8,250,April 30 1985,8,Louisiana State University
11,Jerryd Bayless,PG,6-3,200,August 20 1988,5,University of Arizona
13,Vander Blue,SG,6-4,200,July 17 1992,R,Marquette University
4,Keith Bogans,SG,6-5,215,May 12 1980,10,University of Kentucky
0,Avery Bradley,PG,6-2,180,November 26 1990,3,University of Texas at Austin
12,MarShon Brooks,SG,6-5,200,January 26 1989,2,Providence College
27,Jordan Crawford,SG,6-4,195,October 23 1988,3,Xavier University
38,Vitor Faverani,C,6-11,260,May 5 1988,R,
8,Jeff Green,SF,6-9,235,August 28 1986,5,Georgetown University
43,Kris Humphries,PF,6-9,235,February 6 1985,9,University of Minnesota
12,Chris Johnson,SF,6-6,206,April 29 1990,1,University of Dayton
11,Courtney Lee,SG,6-5,200,October 3 1985,5,Western Kentucky University
41,Kelly Olynyk,C,7-0,238,April 19 1991,R,Gonzaga University
26,Phil Pressey,PG,5-11,175,February 17 1991,R,University of Missouri
9,Rajon Rondo,PG,6-1,186,February 22 1986,7,University of Kentucky
7,Jared Sullinger,PF,6-9,260,March 4 1992,1,Ohio State University
45,Gerald Wallace,SF,6-7,215,July 23 1982,12,University of Alabama
