
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Alan Anderson,SG,6-6,220,October 16 1982,5,Michigan State University
44,Bojan Bogdanovic,SF,6-8,216,April 18 1989,R,
22,Markel Brown,SG,6-3,190,January 29 1992,R,Oklahoma State University
55,Earl Clark,PF,6-10,225,January 17 1988,5,University of Louisville
20,Brandon Davies,PF,6-10,240,July 25 1991,1,Brigham Young University
2,Kevin Garnett,PF,6-11,240,May 19 1976,19,
13,Jorge Gutierrez,PG,6-3,191,December 27 1988,1,University of California
0,Jarrett Jack,PG,6-3,200,October 28 1983,9,Georgia Institute of Technology
21,Cory Jefferson,PF,6-9,218,December 26 1990,R,Baylor University
7,Joe Johnson,SG,6-7,240,June 29 1981,13,University of Arkansas
9,Jerome Jordan,C,7-0,253,September 29 1986,1,University of Tulsa
10,Sergey Karasev,SG,6-7,208,October 26 1993,1,
47,Andrei Kirilenko,SF,6-9,220,February 18 1981,12,
11,Brook Lopez,C,7-0,275,April 1 1988,6,Stanford University
14,Darius Morris,PG,6-4,190,January 3 1991,3,University of Michigan
1,Mason Plumlee,C,6-11,245,March 5 1990,1,Duke University
33,Mirza Teletovic,PF,6-9,242,September 18 1985,2,
8,Deron Williams,PG,6-3,200,June 26 1984,9,University of Illinois at Urbana-Champaign
30,Thaddeus Young,PF,6-8,221,June 21 1988,7,Georgia Institute of Technology
