
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
14,D.J. Augustin,PG,6-0,183,November 10 1987,3,University of Texas at Austin
0,Bismack Biyombo,C,6-9,245,August 28 1992,R,
4,Derrick Brown,SF,6-7,225,September 8 1987,2,Xavier University
33,Matt Carroll,SG,6-6,212,August 28 1980,8,University of Notre Dame
32,Boris Diaw,PF,6-8,250,April 16 1982,8,
7,DeSagana Diop,C,7-0,300,January 30 1982,10,
15,Gerald Henderson,SG,6-5,215,December 9 1987,2,Duke University
11,Cory Higgins,PG,6-5,180,June 14 1989,R,University of Colorado
50,Corey Maggette,SF,6-6,218,November 12 1979,12,Duke University
9,Jamario Moon,SF,6-8,205,June 13 1980,4,Meridian Community College
22,Byron Mullens,C,7-0,275,February 14 1989,2,Ohio State University
21,Eduardo Najera,PF,6-8,240,July 11 1976,11,University of Oklahoma
12,Tyrus Thomas,PF,6-9,215,August 17 1986,5,Louisiana State University
1,Kemba Walker,PG,6-1,172,May 8 1990,R,University of Connecticut
8,D.J. White,PF,6-9,251,August 31 1986,3,Indiana University
55,Reggie Williams,SF,6-6,205,September 14 1986,2,Virginia Military Institute
