
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Tyson Chandler,C,7-1,240,October 2 1982,3,
2,Eddy Curry,C,7-0,295,December 5 1982,3,
34,Antonio Davis,PF,6-9,215,October 31 1968,11,University of Texas at El Paso
9,Luol Deng,SF,6-9,220,April 16 1985,R,Duke University
21,Chris Duhon,PG,6-1,185,August 31 1982,R,Duke University
51,Lawrence Funderburke,PF,6-9,230,December 15 1970,6,Ohio State University
7,Ben Gordon,SG,6-3,200,April 4 1983,R,University of Connecticut
44,Adrian Griffin,SF,6-5,217,July 4 1974,5,Seton Hall University
24,Othella Harrington,PF,6-9,235,January 31 1974,8,Georgetown University
12,Kirk Hinrich,PG,6-4,190,January 2 1981,1,University of Kansas
5,Andres Nocioni,SF,6-7,225,November 30 1979,R,
15,Jannero Pargo,PG,6-1,175,October 22 1979,2,University of Arkansas
52,Eric Piatkowski,SG,6-7,215,September 30 1970,10,University of Nebraska
35,Jared Reiner,C,6-11,255,April 8 1982,R,University of Iowa
30,Frank Williams,SG,6-3,212,February 25 1980,2,University of Illinois at Urbana-Champaign
