
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Daniel Gibson,PG,6-2,190,February 27 1986,3,University of Texas at Austin
14,Danny Green,SG,6-6,215,June 22 1987,R,University of North Carolina
21,J.J. Hickson,PF,6-9,242,September 4 1988,1,North Carolina State University
11,Zydrunas Ilgauskas,C,7-3,238,June 5 1975,11,
9,Cedric Jackson,PG,6-3,191,March 5 1986,R,Cleveland State University
00,Darnell Jackson,PF,6-9,253,November 7 1985,1,University of Kansas
23,LeBron James,SF,6-8,250,December 30 1984,6,
4,Antawn Jamison,PF,6-8,223,June 12 1976,11,University of North Carolina
5,Coby Karl,SG,6-5,215,March 6 1983,1,Boise State University
15,Jamario Moon,SF,6-8,205,June 13 1980,2,Meridian Community College
33,Shaquille O'Neal,C,7-1,325,March 6 1972,17,Louisiana State University
18,Anthony Parker,SG,6-6,215,June 19 1975,6,Bradley University
44,Leon Powe,SF,6-8,240,January 22 1984,3,University of California
3,Sebastian Telfair,PG,6-0,165,June 9 1985,5,
17,Anderson Varejao,PF,6-10,273,September 28 1982,5,
13,Delonte West,SG,6-4,180,July 26 1983,5,Saint Joseph's University
31,Jawad Williams,PG,6-9,218,February 19 1983,1,University of North Carolina
2,Mo Williams,PG,6-1,198,December 19 1982,6,University of Alabama
