
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Kelenna Azubuike,SG,6-5,220,December 16 1983,4,University of Kentucky
3,Rodrigue Beaubois,PG,6-0,170,February 24 1988,2,
35,Brian Cardinal,SF,6-8,245,May 2 1977,11,Purdue University
25,Vince Carter,SG,6-6,220,January 26 1977,13,University of North Carolina
33,Brendan Haywood,C,7-0,268,November 27 1979,10,University of North Carolina
9,Yi Jianlian,PF,7-0,238,October 27 1987,4,
20,Dominique Jones,SG,6-4,215,October 15 1988,1,University of South Florida
2,Jason Kidd,PG,6-4,205,March 23 1973,17,University of California
28,Ian Mahinmi,C,6-11,250,November 5 1986,3,
0,Shawn Marion,SF,6-7,220,May 7 1978,12,University of Nevada Las Vegas
41,Dirk Nowitzki,PF,7-0,245,June 19 1978,13,
7,Lamar Odom,SF,6-10,220,November 6 1979,12,University of Rhode Island
31,Jason Terry,SG,6-2,185,September 15 1977,12,University of Arizona
13,Delonte West,PG,6-4,180,July 26 1983,7,Saint Joseph's University
32,Sean Williams,C,6-10,235,September 13 1986,3,Boston College
34,Brandan Wright,C,6-10,210,October 5 1987,3,University of North Carolina
