
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
15,Carmelo Anthony,SF,6-8,240,May 29 1984,1,Syracuse University
11,Earl Boykins,PG,5-5,135,June 2 1976,6,Eastern Michigan University
7,Greg Buckner,SG,6-4,210,September 16 1976,5,Clemson University
23,Marcus Camby,C,6-11,220,March 22 1974,8,University of Massachusetts Amherst
56,Francisco Elson,C,7-0,235,February 28 1976,1,University of California
12,Luis Flores,PG,6-2,200,April 11 1981,R,Manhattan College
31,Nene Hilario,C,6-11,250,September 13 1982,2,
3,DerMarr Johnson,SG,6-9,201,May 5 1980,3,University of Cincinnati
1,Voshon Lenard,SG,6-4,205,May 14 1973,9,University of Minnesota
6,Kenyon Martin,PF,6-9,234,December 30 1977,4,University of Cincinnati
24,Andre Miller,PG,6-3,200,March 19 1976,5,University of Utah
21,Eduardo Najera,PF,6-8,240,July 11 1976,4,University of Oklahoma
10,Wesley Person,SF,6-6,195,March 28 1971,10,Auburn University
41,Mark Pope,PF,6-10,235,September 11 1972,5,University of Kentucky
9,Bryon Russell,SF,6-7,225,December 31 1970,11,California State University Long Beach
22,Nikoloz Tskitishvili,PF,7-0,225,April 14 1983,2,
5,Rodney White,SF,6-9,238,June 28 1980,3,University of North Carolina at Charlotte
