
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
28,Arron Afflalo,SG,6-5,210,October 15 1985,R,University of California Los Angeles
1,Chauncey Billups,PG,6-3,202,September 25 1976,10,University of Colorado
7,Primoz Brezec,C,7-2,252,October 2 1979,6,
8,Juan Dixon,PG,6-3,164,October 9 1978,5,University of Maryland
12,Ronald Dupree,SF,6-7,209,January 26 1981,4,Louisiana State University
32,Richard Hamilton,SG,6-6,185,February 14 1978,8,University of Connecticut
9,Jarvis Hayes,SF,6-7,220,August 9 1981,4,University of Georgia
5,Walter Herrmann,PF,6-9,225,June 26 1979,1,
10,Lindsey Hunter,PG,6-2,170,December 3 1970,14,Jackson State University
25,Amir Johnson,PF,6-9,240,May 1 1987,2,
54,Jason Maxiell,C,6-7,260,February 18 1983,2,University of Cincinnati
24,Antonio McDyess,PF,6-9,220,September 7 1974,11,University of Alabama
13,Nazr Mohammed,C,6-10,221,September 5 1977,9,University of Kentucky
6,Ronald Murray,PG,6-4,190,July 29 1979,5,Shaw University
22,Tayshaun Prince,SF,6-9,212,February 28 1980,5,University of Kentucky
42,Theo Ratliff,C,6-10,225,April 17 1973,12,University of Wyoming
35,Cheikh Samb,C,7-1,245,October 22 1984,R,
3,Rodney Stuckey,PG,6-5,205,April 21 1986,R,Eastern Washington University
36,Rasheed Wallace,C,6-10,225,September 17 1974,12,University of North Carolina
