
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
7,Kelenna Azubuike,SG,6-5,220,December 16 1983,R,University of Kentucky
22,Matt Barnes,PF,6-7,226,March 9 1980,3,University of California Los Angeles
15,Andris Biedrins,C,6-11,240,April 2 1986,2,
5,Baron Davis,PG,6-3,209,April 13 1979,7,University of California Los Angeles
9,Ike Diogu,PF,6-8,250,September 11 1983,1,Arizona State University
34,Mike Dunleavy,PF,6-9,230,September 15 1980,4,Duke University
8,Monta Ellis,SG,6-3,185,October 26 1985,1,
31,Adonal Foyle,C,6-10,250,March 9 1975,9,Colgate University
3,Al Harrington,PF,6-9,230,February 17 1980,8,
1,Stephen Jackson,SF,6-8,218,April 5 1978,6,Butler County Community College
33,Sarunas Jasikevicius,PG,6-4,195,March 5 1976,1,University of Maryland
12,Renaldo Major,PF,6-7,200,May 7 1982,R,California State University Fresno
4,Keith McLeod,PG,6-2,188,November 5 1979,3,Bowling Green State University
1,Troy Murphy,PF,6-11,245,May 2 1980,5,University of Notre Dame
26,Patrick O'Bryant,C,7-0,260,June 20 1986,R,Bradley University
2,Mickael Pietrus,SF,6-6,215,February 7 1982,3,
21,Josh Powell,PF,6-9,225,January 25 1983,1,North Carolina State University
23,Jason Richardson,SG,6-6,220,January 20 1981,5,Michigan State University
3,Anthony Roberson,PG,6-2,180,February 14 1983,1,University of Florida
0,Dajuan Wagner,SG,6-2,200,February 4 1983,3,University of Memphis
