
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Marquis Daniels,SG,6-6,200,January 7 1981,4,Auburn University
12,Travis Diener,PG,6-1,175,March 1 1982,2,Marquette University
1,Ike Diogu,PF,6-8,250,September 11 1983,2,Arizona State University
17,Mike Dunleavy,SG,6-9,230,September 15 1980,5,Duke University
10,Jeff Foster,C,6-11,236,January 16 1977,8,Texas State University
23,Stephen Graham,SF,6-6,215,June 11 1982,2,Oklahoma State University
33,Danny Granger,SF,6-9,222,April 20 1983,2,University of New Mexico
13,David Harrison,C,7-0,280,August 15 1982,3,University of Colorado
3,Troy Murphy,PF,6-11,245,May 2 1980,6,University of Notre Dame
22,Ronald Murray,PG,6-4,190,July 29 1979,5,Shaw University
7,Jermaine O'Neal,C,6-11,226,October 13 1978,11,
20,Andre Owens,PG,6-4,200,October 31 1980,1,University of Houston
21,Kareem Rush,SG,6-6,215,October 30 1980,4,University of Missouri
44,Courtney Sims,C,6-10,245,October 21 1983,R,University of Michigan
11,Jamaal Tinsley,PG,6-3,195,February 28 1978,6,Iowa State University
4,Shawne Williams,SF,6-9,225,February 16 1986,1,University of Memphis
