
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Chauncey Billups,SG,6-3,202,September 25 1976,14,University of Colorado
12,Eric Bledsoe,PG,6-1,190,December 9 1989,1,University of Kentucky
5,Caron Butler,SF,6-7,228,March 13 1980,9,University of Connecticut
34,Brian Cook,PF,6-9,234,December 4 1980,8,University of Illinois at Urbana-Champaign
30,Reggie Evans,PF,6-8,245,May 18 1980,9,University of Iowa
17,Courtney Fortson,PG,5-11,185,May 23 1988,R,University of Arkansas
4,Randy Foye,SG,6-4,213,September 24 1983,5,Villanova University
15,Ryan Gomes,SF,6-7,250,September 1 1982,6,Providence College
32,Blake Griffin,PF,6-10,251,March 16 1989,1,University of Oklahoma
21,Solomon Jones,PF,6-10,230,July 16 1984,5,University of South Florida
6,DeAndre Jordan,C,6-11,265,July 21 1988,3,Texas A&amp;M University
23,Travis Leslie,SG,6-4,205,March 29 1990,R,University of Georgia
2,Kenyon Martin,PF,6-9,234,December 30 1977,11,University of Cincinnati
3,Chris Paul,PG,6-0,175,May 6 1985,6,Wake Forest University
21,Bobby Simmons,SF,6-7,210,June 2 1980,9,DePaul University
33,Trey Thompkins,C,6-10,245,May 20 1990,R,University of Georgia
25,Mo Williams,SG,6-1,198,December 19 1982,8,University of Alabama
11,Nick Young,SG,6-7,210,June 1 1985,4,University of Southern California
