
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
28,Tarik Black,C,6-9,250,November 22 1991,R,University of Kansas
12,Vander Blue,SG,6-4,200,July 17 1992,1,Marquette University
5,Carlos Boozer,PF,6-9,258,November 20 1981,12,Duke University
15,Jabari Brown,SG,6-4,215,December 18 1992,R,University of Missouri
24,Kobe Bryant,SG,6-6,212,August 23 1978,18,
20,Dwight Buycks,PG,6-3,190,March 6 1989,1,Marquette University
6,Jordan Clarkson,PG,6-5,185,June 7 1992,R,University of Missouri
21,Ed Davis,PF,6-10,240,June 5 1989,4,University of North Carolina
2,Wayne Ellington,SG,6-4,200,October 29 1987,5,University of North Carolina
7,Xavier Henry,SF,6-6,220,March 15 1991,4,University of Kansas
27,Jordan Hill,C,6-10,235,July 27 1987,5,University of Arizona
11,Wesley Johnson,SF,6-7,215,July 11 1987,4,Syracuse University
4,Ryan Kelly,PF,6-11,230,April 9 1991,1,Duke University
17,Jeremy Lin,PG,6-3,200,August 23 1988,4,Harvard University
9,Ronnie Price,PG,6-2,190,June 21 1983,9,Utah Valley State College
30,Julius Randle,PF,6-9,250,November 29 1994,R,University of Kentucky
50,Robert Sacre,C,7-0,270,June 6 1989,2,Gonzaga University
0,Nick Young,SG,6-7,210,June 1 1985,7,University of Southern California
