
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
9,Tony Allen,SG,6-4,213,January 11 1982,8,Oklahoma State University
00,Darrell Arthur,PF,6-9,235,March 25 1988,3,University of Kansas
7,Jerryd Bayless,PG,6-3,200,August 20 1988,4,University of Arizona
11,Mike Conley,PG,6-1,175,October 11 1987,5,Ohio State University
32,Ed Davis,PF,6-10,240,June 5 1989,2,University of North Carolina
5,Austin Daye,SF,6-11,220,June 5 1988,3,Gonzaga University
55,Keyon Dooling,PG,6-3,196,May 8 1980,12,University of Missouri
3,Wayne Ellington,SG,6-4,200,October 29 1987,3,University of North Carolina
33,Marc Gasol,C,7-1,255,January 29 1985,4,
22,Rudy Gay,SF,6-8,230,August 17 1986,6,University of Connecticut
15,Hamed Haddadi,C,7-2,254,May 19 1985,4,
4,Chris Johnson,SF,6-6,206,April 29 1990,R,University of Dayton
30,Jon Leuer,PF,6-10,228,May 14 1989,1,University of Wisconsin
45,Dexter Pittman,C,6-11,308,March 2 1988,2,University of Texas at Austin
20,Quincy Pondexter,SF,6-7,220,March 10 1988,2,University of Washington
21,Tayshaun Prince,SF,6-9,212,February 28 1980,10,University of Kentucky
50,Zach Randolph,PF,6-9,260,July 16 1981,11,Michigan State University
2,Josh Selby,PG,6-2,183,March 27 1991,1,University of Kansas
5,Marreese Speights,C,6-10,255,August 4 1987,4,University of Florida
1,Tony Wroten,SG,6-6,205,April 13 1993,R,University of Washington
