
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
50,Joel Anthony,C,6-9,245,August 9 1982,3,University of Nevada Las Vegas
8,Carlos Arroyo,PG,6-2,202,July 30 1979,8,Florida International University
0,Mike Bibby,PG,6-1,190,May 13 1978,12,University of Arizona
1,Chris Bosh,PF,6-11,235,March 24 1984,7,Georgia Institute of Technology
15,Mario Chalmers,PG,6-2,190,May 19 1986,2,University of Kansas
25,Erick Dampier,C,6-11,265,July 14 1975,14,Mississippi State University
40,Udonis Haslem,PF,6-8,235,June 9 1980,7,University of Florida
55,Eddie House,SG,6-1,180,May 14 1978,10,Arizona State University
5,Juwan Howard,PF,6-9,240,February 7 1973,16,University of Michigan
11,Zydrunas Ilgauskas,C,7-3,238,June 5 1975,12,
6,LeBron James,SF,6-8,250,December 30 1984,7,
22,James Jones,SF,6-8,218,October 4 1980,7,University of Miami
21,Jamaal Magloire,C,6-11,259,May 21 1978,10,University of Kentucky
13,Mike Miller,SG,6-8,218,February 19 1980,10,University of Florida
45,Dexter Pittman,C,6-11,308,March 2 1988,R,University of Texas at Austin
42,Jerry Stackhouse,SG,6-6,218,November 5 1974,15,University of North Carolina
3,Dwyane Wade,SG,6-4,220,January 17 1982,7,Marquette University
