
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
42,Charlie Bell,SG,6-3,200,March 12 1979,5,Michigan State University
6,Andrew Bogut,C,7-0,260,November 28 1984,4,University of Utah
9,Primoz Brezec,C,7-2,252,October 2 1979,7,
10,Carlos Delfino,SF,6-6,230,August 29 1982,4,
9,Francisco Elson,C,7-0,235,February 28 1976,6,University of California
50,Dan Gadzuric,C,6-11,240,February 2 1978,7,University of California Los Angeles
7,Ersan Ilyasova,PF,6-10,235,May 15 1987,1,
11,Royal Ivey,SG,6-3,200,December 20 1981,5,University of Texas at Austin
00,Darnell Jackson,PF,6-9,253,November 7 1985,1,University of Kansas
3,Brandon Jennings,PG,6-1,169,September 23 1989,R,
12,Luc Mbah a Moute,PF,6-8,230,September 9 1986,1,University of California Los Angeles
23,Jodie Meeks,SG,6-4,208,August 21 1987,R,University of Kentucky
22,Michael Redd,SG,6-6,220,August 24 1979,9,Ohio State University
13,Luke Ridnour,PG,6-2,175,February 13 1981,6,University of Oregon
15,John Salmons,SG,6-7,210,December 12 1979,7,University of Miami
24,Jerry Stackhouse,SG,6-6,218,November 5 1974,14,University of North Carolina
40,Kurt Thomas,C,6-9,230,October 4 1972,14,Texas Christian University
20,Roko Ukic,PG,6-5,183,May 12 1984,1,
21,Hakim Warrick,PF,6-9,219,July 8 1982,4,Syracuse University
