
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
17,Lou Amundson,PF,6-9,220,December 7 1982,6,University of Nevada Las Vegas
11,J.J. Barea,PG,6-0,185,June 26 1984,6,Northeastern University
10,Chase Budinger,SF,6-7,209,May 22 1988,3,University of Arizona
5,Will Conroy,PG,6-2,195,December 8 1982,2,University of Washington
33,Dante Cunningham,PF,6-8,230,April 22 1987,3,Villanova University
15,Mickael Gelabale,SF,6-7,215,May 22 1983,2,
32,Lazar Hayward,SF,6-6,225,November 26 1986,2,Marquette University
5,Josh Howard,SF,6-7,210,April 28 1980,9,Wake Forest University
20,Chris Johnson,C,6-11,210,July 15 1985,2,Louisiana State University
47,Andrei Kirilenko,SF,6-9,220,February 18 1981,10,
8,Malcolm Lee,SG,6-5,200,May 22 1990,1,University of California Los Angeles
42,Kevin Love,PF,6-10,251,September 7 1988,4,University of California Los Angeles
14,Nikola Pekovic,C,6-11,307,January 3 1986,2,
13,Luke Ridnour,SG,6-2,175,February 13 1981,9,University of Oregon
3,Brandon Roy,SG,6-6,215,July 23 1984,5,University of Washington
9,Ricky Rubio,PG,6-4,194,October 21 1990,1,
1,Alexey Shved,SG,6-6,190,December 16 1988,R,
34,Greg Stiemsma,C,6-11,260,September 26 1985,1,University of Wisconsin
7,Derrick Williams,PF,6-8,240,May 25 1991,1,University of Arizona
