
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
6,Keith Bogans,SF,6-5,215,May 12 1980,8,University of Kentucky
9,MarShon Brooks,SG,6-5,200,January 26 1989,R,Providence College
14,Andre Emmett,SF,6-5,230,August 27 1982,1,Texas Tech University
2,Jordan Farmar,PG,6-2,180,November 30 1986,5,University of California Los Angeles
1,Sundiata Gaines,SG,6-1,185,April 18 1986,2,University of Georgia
14,Gerald Green,SF,6-7,205,January 26 1986,4,
31,Dennis Horner,PF,6-9,230,February 5 1988,R,North Carolina State University
43,Kris Humphries,PF,6-9,235,February 6 1985,7,University of Minnesota
10,Damion James,SF,6-7,225,October 7 1987,1,University of Texas at Austin
7,Armon Johnson,PG,6-3,195,February 23 1989,1,University of Nevada Reno
11,Brook Lopez,C,7-0,275,April 1 1988,3,Stanford University
22,Anthony Morrow,SG,6-5,210,September 27 1985,3,Georgia Institute of Technology
13,Mehmet Okur,C,6-11,249,May 26 1979,9,
24,Larry Owens,SF,6-7,210,January 8 1983,1,Oral Roberts University
27,Johan Petro,C,7-0,247,January 27 1986,6,
28,Jerry Smith,PG,6-2,190,September 26 1987,R,University of Louisville
92,DeShawn Stevenson,SF,6-5,210,April 3 1981,11,
45,Gerald Wallace,SF,6-7,215,July 23 1982,10,University of Alabama
8,Deron Williams,PG,6-3,200,June 26 1984,6,University of Illinois at Urbana-Champaign
20,Jordan Williams,C,6-10,260,October 11 1990,R,University of Maryland
7,Shawne Williams,SF,6-9,225,February 16 1986,4,University of Memphis
33,Shelden Williams,C,6-9,250,October 21 1983,5,Duke University
