
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Chris Andersen,C,6-10,245,July 7 1978,5,Blinn College
12,Hilton Armstrong,C,6-11,235,November 11 1984,1,University of Connecticut
40,Ryan Bowen,SF,6-7,215,November 20 1975,7,University of Iowa
45,Rasual Butler,SF,6-7,215,May 23 1979,5,La Salle University
6,Tyson Chandler,C,7-1,240,October 2 1982,6,
33,Melvin Ely,C,6-10,260,May 2 1978,5,California State University Fresno
8,Bobby Jackson,SG,6-1,185,March 13 1973,10,University of Minnesota
5,Mike James,PG,6-2,188,June 23 1975,6,Duquesne University
2,Jannero Pargo,SG,6-1,175,October 22 1979,5,University of Arkansas
3,Chris Paul,PG,6-0,175,May 6 1985,2,Wake Forest University
9,Morris Peterson,SG,6-7,218,August 26 1977,7,Michigan State University
16,Peja Stojakovic,SF,6-9,220,June 9 1977,9,
11,Marcus Vinicius,SF,6-8,225,May 31 1984,1,
24,Bonzi Wells,SG,6-5,210,September 28 1976,9,Ball State University
30,David West,PF,6-9,250,August 29 1980,4,Xavier University
32,Julian Wright,SF,6-8,225,May 20 1987,R,University of Kansas
