
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12,Hilton Armstrong,C,6-11,235,November 11 1984,R,University of Connecticut
33,Brandon Bass,PF,6-8,250,April 30 1985,1,Louisiana State University
23,Devin Brown,SG,6-5,220,December 30 1978,4,University of Texas at San Antonio
45,Rasual Butler,SF,6-7,215,May 23 1979,4,La Salle University
6,Tyson Chandler,C,7-1,240,October 2 1982,5,
8,Bobby Jackson,SG,6-1,185,March 13 1973,9,University of Minnesota
44,Marc Jackson,PF,6-10,270,January 16 1975,6,Temple University
43,Linton Johnson,PF,6-8,205,June 13 1980,3,Tulane University
24,Desmond Mason,SF,6-7,224,October 11 1977,6,Oklahoma State University
2,Jannero Pargo,PG,6-1,175,October 22 1979,4,University of Arkansas
3,Chris Paul,PG,6-0,175,May 6 1985,1,Wake Forest University
22,Cedric Simmons,PF,6-9,235,January 3 1986,R,North Carolina State University
16,Peja Stojakovic,SF,6-9,220,June 9 1977,8,
11,Marcus Vinicius,SF,6-8,225,May 31 1984,R,
30,David West,PF,6-9,250,August 29 1980,3,Xavier University
