
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
12-42,Alexis Ajinca,C,7-2,248,May 6 1988,3,
0,Al-Farouq Aminu,SF,6-9,215,September 21 1990,3,Wake Forest University
17,Lou Amundson,PF,6-9,220,December 7 1982,7,University of Nevada Las Vegas
33,Ryan Anderson,PF,6-10,240,May 6 1988,5,University of California
8,Luke Babbitt,PF,6-9,225,June 20 1989,3,University of Nevada Reno
8,Josh Childress,SF,6-8,210,June 20 1983,7,Stanford University
23,Anthony Davis,C,6-10,253,March 11 1993,1,University of Kentucky
4,Melvin Ely,C,6-10,260,May 2 1978,8,California State University Fresno
1,Tyreke Evans,SF,6-6,220,September 19 1989,4,University of Memphis
10,Eric Gordon,SG,6-4,215,December 25 1988,5,Indiana University
11,Jrue Holiday,PG,6-4,205,June 12 1990,4,University of California Los Angeles
2,Darius Miller,SF,6-8,235,March 21 1990,1,University of Kentucky
3,Anthony Morrow,SG,6-5,210,September 27 1985,5,Georgia Institute of Technology
21,Arinze Onuaku,PF,6-9,275,July 13 1987,R,Syracuse University
25,Austin Rivers,SG,6-4,200,August 1 1992,1,Duke University
22,Brian Roberts,PG,6-1,173,December 3 1985,1,University of Dayton
14,Jason Smith,PF,7-0,245,March 2 1986,5,Colorado State University
31,James Southerland,F,6-8,215,April 28 1990,R,Syracuse University
34,Greg Stiemsma,C,6-11,260,September 26 1985,2,University of Wisconsin
42,Lance Thomas,SF,6-8,235,April 24 1988,2,Duke University
5,Jeff Withey,C,7-0,231,March 7 1990,R,University of Kansas
