
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
49,Shandon Anderson,SG,6-6,208,December 31 1973,8,University of Georgia
21,Trevor Ariza,SF,6-8,215,June 30 1985,R,University of California Los Angeles
42,Vin Baker,PF,6-11,232,November 23 1971,11,University of Hartford
2,Jamison Brewer,PG,6-4,184,November 19 1980,3,Auburn University
45,Jackie Butler,C,6-10,250,March 10 1985,R,
11,Jamal Crawford,SG,6-5,195,March 20 1980,4,University of Michigan
1,Anfernee Hardaway,SF,6-7,195,July 18 1971,11,University of Memphis
20,Allan Houston,SG,6-6,200,April 20 1971,11,University of Tennessee
8,Jermaine Jackson,SG,6-4,204,June 7 1976,3,University of Detroit Mercy
3,Stephon Marbury,PG,6-2,180,February 20 1977,8,Georgia Institute of Technology
13,Nazr Mohammed,C,6-10,221,September 5 1977,6,University of Kentucky
25,Moochie Norris,PG,6-1,175,July 27 1973,7,University of West Florida
13,Malik Rose,PF,6-7,250,November 23 1974,8,Drexel University
14,Bruno Sundov,C,7-2,220,February 10 1980,6,
50,Mike Sweetney,C,6-8,275,October 25 1982,1,Georgetown University
2,Maurice Taylor,C,6-9,260,October 30 1976,6,University of Michigan
40,Kurt Thomas,PF,6-9,230,October 4 1972,9,Texas Christian University
5,Tim Thomas,SF,6-10,230,February 26 1977,7,Villanova University
31,Jerome Williams,SF,6-9,206,May 10 1973,8,Georgetown University
