
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
8,Ronnie Brewer,SF,6-7,220,March 20 1985,6,University of Arkansas
4,Nick Collison,C,6-10,255,October 26 1980,8,University of Kansas
35,Kevin Durant,SF,6-9,240,September 29 1988,5,University of Texas at Austin
6,Derek Fisher,SG,6-1,200,August 9 1974,16,University of Arkansas at Little Rock
9,Serge Ibaka,PF,6-10,245,September 18 1989,3,
15,Reggie Jackson,PG,6-3,208,April 16 1990,1,Boston College
3,Perry Jones,SF,6-11,235,September 24 1991,R,Baylor University
11,Jeremy Lamb,SF,6-5,185,May 30 1992,R,University of Connecticut
25,DeAndre Liggins,SG,6-6,209,March 31 1988,1,University of Kentucky
23,Kevin Martin,SG,6-7,199,February 1 1983,8,Western Carolina University
6,Eric Maynor,PG,6-3,175,June 11 1987,3,Virginia Commonwealth University
33,Daniel Orton,C,6-10,255,August 6 1990,1,University of Kentucky
5,Kendrick Perkins,C,6-10,270,November 10 1984,9,
2,Thabo Sefolosha,SG,6-7,220,May 2 1984,6,
34,Hasheem Thabeet,C,7-3,263,February 16 1987,3,University of Connecticut
0,Russell Westbrook,PG,6-3,200,November 12 1988,4,University of California Los Angeles
