
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Trevor Ariza,SF,6-8,215,June 30 1985,1,University of California Los Angeles
30,Carlos Arroyo,SG,6-2,202,July 30 1979,4,Florida International University
2,Stacey Augmon,SF,6-8,205,August 1 1968,14,University of Nevada Las Vegas
4,Tony Battie,C,6-11,230,February 11 1976,8,Texas Tech University
13,Kelvin Cato,C,6-11,255,August 26 1974,8,Iowa State University
34,Travis Diener,PG,6-1,175,March 1 1982,R,Marquette University
5,Keyon Dooling,PG,6-3,196,May 8 1980,5,University of Missouri
3,Steve Francis,PG,6-3,195,February 21 1977,6,University of Maryland
8,Pat Garrity,PF,6-9,238,August 23 1976,7,University of Notre Dame
33,Grant Hill,SF,6-8,225,October 5 1972,10,Duke University
12,Dwight Howard,PF,6-11,265,December 8 1985,1,
41,Mario Kasun,C,7-1,260,April 5 1980,1,
31,Darko Milicic,C,7-0,250,June 20 1985,2,
40,Terence Morris,SF,6-9,221,January 11 1979,2,University of Maryland
14,Jameer Nelson,PG,6-0,190,February 9 1982,1,Saint Joseph's University
45,Bo Outlaw,PF,6-8,210,April 13 1971,12,University of Houston
9,DeShawn Stevenson,SG,6-5,210,April 3 1981,5,
15,Hedo Turkoglu,SF,6-10,220,March 19 1979,5,
