
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
31,Michael Bradley,PF,6-10,245,April 18 1979,3,Villanova University
5,Kedrick Brown,SF,6-7,222,March 18 1981,3,Okaloosa-Walton Community College
1,Samuel Dalembert,C,6-11,255,May 10 1981,2,Seton Hall University
23,Josh Davis,PF,6-8,235,August 10 1980,1,University of Wyoming
33,Willie Green,SG,6-4,200,July 28 1981,1,University of Detroit Mercy
4-9,Andre Iguodala,SG,6-6,207,January 28 1984,R,University of Arizona
3,Allen Iverson,PG,6-0,165,June 7 1975,8,Georgetown University
25,Marc Jackson,C,6-10,270,January 16 1975,4,Temple University
26,Kyle Korver,SF,6-7,212,March 17 1981,1,Creighton University
8,Aaron McKie,SG,6-5,209,October 2 1972,10,Temple University
12,Kevin Ollie,PG,6-4,195,December 27 1972,7,University of Connecticut
54,Rodney Rogers,PF,6-7,235,June 20 1971,11,Wake Forest University
7,John Salmons,SG,6-7,210,December 12 1979,2,University of Miami
54,Brian Skinner,PF,6-9,255,May 19 1976,6,Baylor University
9,Kenny Thomas,PF,6-7,261,July 25 1977,5,University of New Mexico
4,Chris Webber,PF,6-9,245,March 1 1973,11,University of Michigan
14,Corliss Williamson,PF,6-7,245,December 4 1973,9,University of Arkansas
