
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
10,Leandro Barbosa,PG,6-3,194,November 28 1982,10,
2,Eric Bledsoe,PG,6-1,190,December 9 1989,3,University of Kentucky
25,Dionte Christmas,SF,6-5,205,September 15 1986,R,Temple University
1,Goran Dragic,SG,6-3,190,May 6 1986,5,
8,Channing Frye,PF,6-11,255,May 17 1983,7,University of Arizona
20,Archie Goodwin,SG,6-5,200,August 17 1994,R,University of Kentucky
14,Gerald Green,SG,6-7,205,January 26 1986,6,
55,Viacheslav Kravtsov,C,7-0,260,August 25 1987,1,
21,Alex Len,C,7-1,260,June 16 1993,R,University of Maryland
15,Marcus Morris,SF,6-9,235,September 2 1989,2,University of Kansas
11,Markieff Morris,PF,6-10,245,September 2 1989,2,University of Kansas
22,Miles Plumlee,C,6-11,249,September 1 1988,1,Duke University
43,Shavlik Randolph,PF,6-10,240,November 24 1983,6,Duke University
3,Ish Smith,PG,6-0,175,July 5 1988,3,Wake Forest University
17,P.J. Tucker,SF,6-6,245,May 5 1985,2,University of Texas at Austin
