
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
2,Steve Blake,PG,6-3,172,February 26 1980,2,University of Maryland
3,Juan Dixon,SG,6-3,164,October 9 1978,3,University of Maryland
1,Jarrett Jack,SG,6-3,200,October 28 1983,R,Georgia Institute of Technology
38,Viktor Khryapa,SF,6-9,210,August 3 1982,1,
0,Voshon Lenard,SG,6-4,205,May 14 1973,10,University of Minnesota
23,Darius Miles,SF,6-9,210,October 9 1981,5,
12,Sergei Monia,SF,6-8,220,April 15 1983,R,
25,Travis Outlaw,PF,6-9,210,September 18 1984,2,
21,Ruben Patterson,SF,6-5,224,July 31 1975,7,University of Cincinnati
10,Joel Przybilla,C,7-1,255,October 10 1979,5,University of Minnesota
50,Zach Randolph,PF,6-9,260,July 16 1981,4,Michigan State University
42,Theo Ratliff,C,6-10,225,April 17 1973,10,University of Wyoming
5,Ha Seung-Jin,C,7-3,305,August 4 1985,1,
54,Brian Skinner,C,6-9,255,May 19 1976,7,Baylor University
7,Charles Smith,SG,6-4,194,August 22 1975,4,University of New Mexico
31,Sebastian Telfair,PG,6-0,165,June 9 1985,1,
8,Martell Webster,SF,6-7,230,December 4 1986,R,
