
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
3,Shareef Abdur-Rahim,PF,6-9,225,December 11 1976,11,University of California
10,Mike Bibby,PG,6-1,190,May 13 1978,9,University of Arizona
8,Quincy Douby,PG,6-3,175,May 16 1984,1,Rutgers University
32,Francisco Garcia,SF,6-7,195,December 31 1981,2,University of Louisville
5,Orien Greene,SG,6-4,208,February 4 1982,2,University of Louisiana at Lafayette
31,Spencer Hawes,C,7-1,245,April 28 1988,R,University of Washington
5,Anthony Johnson,PG,6-3,190,October 2 1974,10,College of Charleston
7,Dahntay Jones,SG,6-6,225,December 27 1980,4,Duke University
23,Kevin Martin,SG,6-7,199,February 1 1983,3,Western Carolina University
52,Brad Miller,C,6-11,244,April 12 1976,9,Purdue University
33,Mikki Moore,PF,6-11,225,November 4 1975,9,University of Nebraska
15,John Salmons,SG,6-7,210,December 12 1979,5,University of Miami
9,Kenny Thomas,PF,6-7,261,July 25 1977,8,University of New Mexico
19,Beno Udrih,PG,6-3,205,July 5 1982,3,
13,Darryl Watkins,C,6-11,258,November 8 1984,R,Syracuse University
30,Justin Williams,C,6-10,225,May 12 1984,1,University of Wyoming
22,Shelden Williams,PF,6-9,250,October 21 1983,1,Duke University
93,Metta World Peace,SF,6-6,260,November 13 1979,8,St. John's University
42,Lorenzen Wright,C,6-11,225,November 4 1975,11,University of Memphis
