
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
25,James Anderson,SG,6-6,213,March 25 1989,1,Oklahoma State University
45,DeJuan Blair,PF,6-7,270,April 22 1989,2,University of Pittsburgh
15,Matt Bonner,PF,6-10,235,April 5 1980,7,University of Florida
34,Derrick Byars,PF,6-7,220,April 25 1984,R,Vanderbilt University
23,Eric Dawson,C,6-9,250,July 7 1984,R,Midwestern State University
1,Justin Dentmon,PG,5-11,185,September 5 1985,R,University of Washington
33,Boris Diaw,PF,6-8,250,April 16 1982,8,
1,Ike Diogu,PF,6-8,250,September 11 1983,5,Arizona State University
21,Tim Duncan,C,6-11,250,April 25 1976,14,Wake Forest University
11,T.J. Ford,PG,6-0,165,March 24 1983,7,University of Texas at Austin
20,Manu Ginobili,SG,6-6,205,July 28 1977,9,
4,Danny Green,SG,6-6,215,June 22 1987,2,University of North Carolina
3,Stephen Jackson,SF,6-8,218,April 5 1978,11,Butler County Community College
24,Richard Jefferson,SF,6-7,233,June 21 1980,10,University of Arizona
5,Cory Joseph,PG,6-3,190,August 20 1991,R,University of Texas at Austin
2,Kawhi Leonard,SF,6-7,230,June 29 1991,R,San Diego State University
8,Patrick Mills,PG,6-0,185,August 11 1988,2,Saint Mary's College of California
14,Gary Neal,SG,6-4,210,October 3 1984,1,Towson University
9,Tony Parker,PG,6-2,185,May 17 1982,10,
22,Tiago Splitter,C,6-11,245,January 1 1985,1,
23,Malcolm Thomas,PF,6-9,225,November 8 1988,R,San Diego State University
