
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
4,Nick Collison,PF,6-10,255,October 26 1980,3,University of Kansas
12,Ronald Dupree,SF,6-7,209,January 26 1981,4,Louisiana State University
35,Kevin Durant,SG,6-9,240,September 29 1988,R,University of Texas at Austin
16,Francisco Elson,C,7-0,235,February 28 1976,4,University of California
15,Mickael Gelabale,SG,6-7,215,May 22 1983,1,
6,Eddie Gill,PG,6-0,190,August 16 1978,5,Weber State University
22,Jeff Green,SF,6-9,235,August 28 1986,R,Georgetown University
44,Adrian Griffin,SF,6-5,217,July 4 1974,8,Seton Hall University
42,Donyell Marshall,PF,6-9,218,May 18 1973,13,University of Connecticut
14,Ira Newble,SF,6-7,220,January 20 1975,7,Miami University
27,Johan Petro,C,7-0,247,January 27 1986,2,
8,Luke Ridnour,PG,6-2,175,February 13 1981,4,University of Oregon
18,Mouhamed Sene,C,6-11,230,May 12 1986,1,
31,Robert Swift,C,7-0,245,December 3 1985,2,
3,Wally Szczerbiak,SF,6-7,244,March 5 1977,8,Miami University
44,Kurt Thomas,C,6-9,230,October 4 1972,12,Texas Christian University
25,Earl Watson,PG,6-1,195,June 12 1979,6,University of California Los Angeles
2,Delonte West,PG,6-4,180,July 26 1983,3,Saint Joseph's University
54,Chris Wilcox,PF,6-10,221,September 3 1982,5,University of Maryland
21,Damien Wilkins,SF,6-6,225,January 11 1980,3,University of Georgia
29,Mike Wilks,PG,5-10,185,May 7 1979,5,Rice University
