
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
55,Rafael Araujo,C,6-11,280,August 12 1980,1,Brigham Young University
12,Andre Barrett,PG,5-10,172,February 21 1982,1,Seton Hall University
16,Matt Bonner,PF,6-10,235,April 5 1980,1,University of Florida
4,Chris Bosh,C,6-11,235,March 24 1984,2,Georgia Institute of Technology
8,Jose Calderon,SG,6-3,200,September 28 1981,R,
33,Antonio Davis,C,6-9,215,October 31 1968,12,University of Texas at El Paso
14,Joey Graham,SF,6-7,225,June 11 1982,R,Oklahoma State University
13,Mike James,PG,6-2,188,June 23 1975,4,Duquesne University
2,Darrick Martin,PG,5-11,170,March 6 1971,10,University of California Los Angeles
24,Morris Peterson,SG,6-7,218,August 26 1977,5,Michigan State University
5,Jalen Rose,SF,6-8,210,January 30 1973,11,University of Michigan
9,Pape Sow,C,6-10,250,November 22 1981,1,California State University Fullerton
31,Charlie Villanueva,PF,6-11,232,August 24 1984,R,University of Connecticut
34,Aaron Williams,C,6-9,220,October 2 1971,11,Xavier University
20,Alvin Williams,PG,6-5,185,August 6 1974,7,Villanova University
17,Eric Williams,SF,6-8,220,July 17 1972,10,Providence College
3,Loren Woods,C,7-1,245,June 21 1978,4,University of Arizona
